,timestamp,location,price,FirstName,LastName,CarID,CurrentEmploymentType,CurrentEmploymentTitle,Category
0,1/6/2014 7:28,Brew've Been Served,11.34,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
1,1/6/2014 13:23,Hippokampos,13.26,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
2,1/7/2014 7:33,Brew've Been Served,7.09,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
3,1/7/2014 13:33,Kalami Kafenion,18.06,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
4,1/7/2014 20:10,Guy's Gyros,26.82,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
5,1/8/2014 8:00,Brew've Been Served,32.3,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
6,1/8/2014 13:15,Hippokampos,9.03,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
7,1/9/2014 7:48,Brew've Been Served,5.13,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
8,1/9/2014 13:21,Gelatogalore,23.45,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
9,1/9/2014 20:19,General Grocer,285.34,Edvard,Vann,34.0,Security,Perimeter Control,Shop
10,1/10/2014 7:56,Brew've Been Served,97.25,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
11,1/10/2014 13:20,Hippokampos,79.26,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
12,1/10/2014 14:41,Octavio's Office Supplies,139.72,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
13,1/10/2014 19:54,Guy's Gyros,27.78,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
14,1/11/2014 16:24,Ahaggo Museum,89.32,Edvard,Vann,34.0,Security,Perimeter Control,SpecialMeeting
15,1/11/2014 19:29,Hippokampos,63.21,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
16,1/13/2014 7:43,Brew've Been Served,18.71,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
17,1/13/2014 13:37,Ouzeri Elian,95.03,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
18,1/13/2014 20:11,Guy's Gyros,20.47,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
19,1/14/2014 7:31,Brew've Been Served,4.72,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
20,1/14/2014 13:34,Katerina's Cafe,29.1,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
21,1/14/2014 20:01,Guy's Gyros,23.59,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
22,1/15/2014 7:57,Brew've Been Served,4.92,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
23,1/16/2014 7:53,Brew've Been Served,4.7,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
24,1/16/2014 13:39,Abila Zacharo,69.27,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
25,1/16/2014 19:40,Guy's Gyros,37.8,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
26,1/17/2014 7:59,Brew've Been Served,19.39,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
27,1/17/2014 13:27,Hippokampos,14.57,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
28,1/17/2014 19:53,Guy's Gyros,35.1,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
29,1/18/2014 19:36,Abila Zacharo,21.29,Edvard,Vann,34.0,Security,Perimeter Control,Uncertain
30,1/19/2014 13:23,Katerina's Cafe,70.22,Edvard,Vann,34.0,Security,Perimeter Control,Restaurant
31,1/19/2014 15:53,Frydos Autosupply n' More,209.76,Edvard,Vann,34.0,Security,Perimeter Control,SpecialGoods
32,1/6/2014 7:34,Hallowed Grounds,52.22,Hideki,Cocinaro,12.0,Security,Site Control,Restaurant
33,1/6/2014 14:05,Abila Zacharo,78.11,Hideki,Cocinaro,12.0,Security,Site Control,Uncertain
34,1/6/2014 20:28,Guy's Gyros,95.29,Hideki,Cocinaro,12.0,Security,Site Control,Restaurant
35,1/7/2014 7:48,Hallowed Grounds,18.97,Hideki,Cocinaro,12.0,Security,Site Control,Restaurant
36,1/7/2014 13:46,Kalami Kafenion,22.14,Hideki,Cocinaro,12.0,Security,Site Control,Uncertain
37,1/8/2014 7:39,Hallowed Grounds,12.19,Hideki,Cocinaro,12.0,Security,Site Control,Restaurant
38,1/8/2014 14:06,Katerina's Cafe,22.94,Hideki,Cocinaro,12.0,Security,Site Control,Restaurant
39,1/8/2014 21:00,General Grocer,265.84,Hideki,Cocinaro,12.0,Security,Site Control,Shop
40,1/9/2014 7:42,Hallowed Grounds,56.77,Hideki,Cocinaro,12.0,Security,Site Control,Restaurant
41,1/9/2014 14:04,Ouzeri Elian,32.89,Hideki,Cocinaro,12.0,Security,Site Control,Restaurant
